title,genre,rating,poster_path,overview,id
Zootopia 2,Animation,77,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De’Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",1084242
TRON: Ares,Sci-Fi,65,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",533533
Troll 2,Action,70,/p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",1180831
Kantara - A Legend: Chapter 1,Action,74,/zBvw25afDn93embB8L7FzvTT2xq.jpg,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",1083637
The Shadow's Edge,Action,64,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,1419406
High Forces,Action,60,/v8ySgr4CE45SrrIt4PqqYc1diW6.jpg,"""Anyone? There is ......"" A mysterious message from Gao Haojun comes from ten thousand meters in the air. A five-star A380 ultra-luxury airliner was hijacked on its international maiden voyage, and international security expert Gao Haojun stood up to a group of thugs, his daughter Xiaojun was trapped in the cabin, and Mike, the leader of the hijackers, threatened the lives of more than 800 people in the plane as a bargaining chip, and Xiaojun's mother, Fu Yuan, was also in danger. ...... Will the passengers on board be able to land safely and how should this crisis be resolved?",949709
Dracula,Horror,70,/ykyRfv7JDofLxXLAwtLXaSuaFfM.jpg,"When a 15th-century prince denounces God after the devastating loss of his wife, he inherits an eternal curse: he becomes Dracula. Condemned to wander the centuries, he defies fate and death itself, guided by a single hope — to be reunited with his lost love.",1246049
Wildcat,Action,62,/h893ImjM6Fsv5DFhKJdlZFZIJno.jpg,An ex-black ops team reunite to pull off a desperate heist in order to save the life of their leader’s eight-year-old daughter.,1448560
Bureau 749,Action,60,/flykCMw22y6yv8vKnBjmsW3pneo.jpg,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,1033462
Predator: Badlands,Action,73,/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",1242898
Border Hunters,Action,85,/6TNFZnJ5CU0uFQxGaO9dbqriiI7.jpg,"After his police officer brother is killed by a drug dealer who flees to the protection of his cartel-connected uncle in Mexico, an American man with a diverse law enforcement/military background goes south of the border to get revenge",1469354
Altered,Sci-Fi,65,/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,"In an alternate present, genetically enhanced humans dominate society. Outcasts Leon and Chloe fight for justice against corrupt politicians exploiting genetic disparity, risking everything to challenge the oppressive system.",1309012
The Family Plan 2,Action,67,/semFxuYx6HcrkZzslgAkBqfJvZk.jpg,"Now that Dan's assassin days are behind him, all he wants for Christmas is quality time with his kids. But when he learns his daughter has her own plans, he books a family trip to London—putting them all in the crosshairs of an unexpected enemy.",1363123
War of the Worlds,Sci-Fi,42,/yvirUYrva23IudARHn3mMGVxWqM.jpg,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",755898
